	Street	Neighborhood	City	Price €	Rooms	Surface	Floor	Exterior	Elevator
96	Casa o chalet independiente en Conde Orgaz-Piovera	 	 Madrid	1575000	6	719 m²	 	 	 
6	Piso en paseo del general martinez campo  44	 Almagro	 Madrid	1575000	4	220 m²	7ª	Yes	Yes
36	Piso en paseo de la Castellana	 Cuzco-Castillejos	 Madrid	1575000	7	430 m²	2ª	Yes	Yes
29	Piso en Recoletos	 	 Madrid	1590000	2	146 m²	2ª	No	Yes
59	Casa o chalet independiente en calle Hidra	 Aravaca	 Madrid	1590000	5	670 m²	 	 	 
119	Piso en Castellana	 	 Madrid	1590000	3	179 m²	2ª	Yes	Yes
155	Piso en calle Velázquez	 Castellana	 Madrid	1590000	3	152 m²	5ª	Yes	Yes
172	Chalet adosado en El Plantío	 	 Madrid	1620000	6	265 m²	 	 	 
91	Piso en calle Virgen del Sagrario	 Quintana	 Madrid	1800000	4	97 m²	1ª	Yes	Yes
31	Piso en Recoletos	 	 Madrid	1800000	4	306 m²	3ª	Yes	Yes
1	Piso en calle de Núñez de Balboa	 Recoletos	 Madrid	1800000	5	241 m²	5ª	Yes	 
128	Casa o chalet independiente en Aravaca	 	 Madrid	1825000	9	640 m²	 	 	 
13	Piso en paseo de la Habana	 Bernabéu-Hispanoamérica	 Madrid	1825000	4	340 m²	 	Yes	Yes
149	Piso en PINAR DE SAN JOSE	 Pau de Carabanchel	 Madrid	1825000	4	265 m²	Bajo	Yes	Yes
43	Piso en calle Velázquez  9	 Recoletos	 Madrid	1825000	3	193 m²	3ª	Yes	Yes
89	Piso en calle de Don Ramón de la Cruz	 Goya	 Madrid	1825000	4	196 m²	5ª	Yes	Yes
68	Piso en Lista	 	 Madrid	1825000	3	134 m²	3ª	Yes	 
103	Piso en Palacio	 	 Madrid	1825000	4	72 m²	5ª	No	Yes
150	Piso en calle de Almansa	 Ciudad Universitaria	 Madrid	1850000	1	63 m²	2ª	Yes	Yes
15	Piso en calle del general arrando	 Almagro	 Madrid	1900000	4	257 m²	3ª	Yes	Yes
105	Piso en Malasaña-Universidad	 	 Madrid	1900000	2	82 m²	Bajo	Yes	Yes
124	Ático en Aravaca	 	 Madrid	1900000	4	192 m²	2ª	Yes	Yes
45	Piso en Valdemarín	 	 Madrid	1900000	3	140 m²	1ª	Yes	Yes
64	Casa o chalet independiente en calle Guisando	 Ciudad Universitaria	 Madrid	1900000	5	674 m²	 	 	 
107	Ático en calle del Conde de Aranda	 Recoletos	 Madrid	1990000	5	287 m²	7ª	Yes	Yes
47	Piso en AYALA	 Recoletos	 Madrid	1990000	2	111 m²	3ª	Yes	Yes
17	Piso en Goya	 	 Madrid	1990000	4	297 m²	1ª	Yes	Yes
115	Chalet pareado en Aravaca	 	 Madrid	2095000	5	360 m²	 	 	 
25	Piso en calle de Ayala	 Recoletos	 Madrid	2095000	6	240 m²	 	Yes	Yes
55	Chalet adosado en ebro	 El Viso	 Madrid	2095000	5	416 m²	 	 	 
73	Piso en San Juan Bautista	 	 Madrid	2150000	3	154 m²	2ª	Yes	Yes
66	Chalet adosado en Goya	 	 Madrid	2150000	1	120 m²	 	 	 
14	Chalet pareado en avenida Conde Orgaz	 Conde Orgaz-Piovera	 Madrid	2150000	6	575 m²	 	 	 
126	Casa o chalet independiente en Valdemarín	 	 Madrid	2150000	9	1.186 m²	 	 	 
104	Piso en Chueca-Justicia	 	 Madrid	2150000	4	260 m²	5ª	Yes	Yes
44	Piso en calle Velázquez  9	 Recoletos	 Madrid	2150000	3	240 m²	3ª	Yes	Yes
133	Piso en Recoletos	 	 Madrid	2150000	3	222 m²	3ª	Yes	Yes
122	Chalet adosado en Aravaca	 	 Madrid	2200000	4	330 m²	 	 	 
178	Chalet pareado en El Plantío	 	 Madrid	2200000	5	400 m²	 	 	 
62	Piso en paseo del Pintor Rosales	 Argüelles	 Madrid	2200000	4	412 m²	5ª	Yes	Yes
46	Piso en paseo DE LA CASTELLANA	 Cuzco-Castillejos	 Madrid	2250000	2	135 m²	6ª	Yes	Yes
16	Piso en NUÑEZ DE BALBOA	 Recoletos	 Madrid	2250000	5	290 m²	4ª	Yes	Yes
106	Piso en Ibiza	 	 Madrid	2250000	5	184 m²	4ª	No	Yes
92	Piso en calle Mayor	 Sol	 Madrid	2300000	4	148 m²	4ª	Yes	Yes
32	Piso en Recoletos	 	 Madrid	2300000	2	225 m²	3ª	Yes	 
2	Ático en calle de Alfonso X	 Almagro	 Madrid	2300000	3	335 m²	5ª	Yes	Yes
74	Piso en calle de Argensola	 Chueca-Justicia	 Madrid	2350000	3	150 m²	4ª	No	Yes
134	Piso en calle de la Cruz	 Huertas-Cortes	 Madrid	2350000	9	215 m²	1ª	Yes	Yes
175	Piso en Goya	 	 Madrid	2450000	4	183 m²	1ª	Yes	 
123	Casa o chalet independiente en Aravaca	 	 Madrid	2460000	6	780 m²	 	 	 
63	Piso en paseo del Pintor Rosales	 Argüelles	 Madrid	2460000	6	412 m²	5ª	Yes	Yes
141	Piso en Huertas-Cortes	 	 Madrid	2550000	3	178 m²	1ª	Yes	Yes
81	Piso en calle del General Pardiñas	 Lista	 Madrid	2550000	2	129 m²	5ª	Yes	Yes
10	Casa o chalet independiente en ronda de Cala Basa	 Conde Orgaz-Piovera	 Madrid	2850000	6	720 m²	 	 	 
100	Piso en Bernabéu-Hispanoamérica	 	 Madrid	2850000	4	340 m²	3ª	Yes	Yes
40	Piso en Pacífico	 	 Madrid	2850000	6	245 m²	1ª	Yes	Yes
152	Casa o chalet independiente en avenida de la Osa Mayor	 Aravaca	 Madrid	2950000	5	417 m²	 	 	 
153	Piso en plaza DE ESPAÑA	 Argüelles	 Madrid	2950000	2	163 m²	12ª	Yes	Yes
147	Piso en calle DEL MARQUES DE URQUIJO	 Argüelles	 Madrid	3200000	3	150 m²	2ª	Yes	Yes
